,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
c38ccac1-5f2a,5,18336,5378,5,240,144,65913,960070,2,1,0,57,53,110,55
65e8b49d-7aff,1,5923,5923,1,128,128,65913,960070,2,1,11,15,20,35,8
414263f3-748f,3,12235,4952,3,392,184,65914,960078,4,2,25,39,84,123,61
025b3c7b-3b59,87,105592,7333,87,624,96,65913,960071,3,1,14153,146,108,254,133
4736d41b-a904,60061,45494710,437984,60061,583408,39664,131829,1920148,7,4,738,314,308,622,309
3547f107-0732,1,11164,11164,1,232,232,65914,960081,8,2,25,37,51,88,37
cb8d7181-acb0,15,54656,21090,15,200,200,65913,960069,2,1,219,121,44,165,85
debaf757-ea4a,24,57470,20047,24,128,64,65913,960069,2,1,24,123,18,141,69
4d428f55-f8bb,41794,61701715,1201583,41794,1187752,1296,65916,960090,3,2,57910,319,320,639,323
92e1c4a6-35a7,20,53566,4782,20,640,184,65913,960072,3,1,86,119,111,230,118
9ab3da73-7aec,2776,4650484,64803,2776,192448,240,65920,960119,10,4,10035,267,279,546,274
b6e1f56d-4d66,1,4069,4069,1,192,192,65913,960070,2,1,4,9,38,47,16
1a0dd8bf-63fe,191,20942637,1069811,191,12568720,85056,65913,960071,2,1,191,293,330,623,311
77f371ae-bbb4,286,624853,18437,286,4320,96,65913,960069,2,1,292,206,182,388,192
dce38fd3-f82d,125,151126,22631,125,984,168,65914,960083,6,2,125,160,137,297,154
73fc506f-46fd,32,36229,3376,32,864,128,65913,960074,6,2,3132,99,131,230,117
e0737605-7bc4,766,781335,19778,766,8072,128,65913,960076,7,1,774,216,207,423,211
1cb910a9-a8be,766,487514,12571,766,8072,128,65913,960076,7,1,774,199,206,405,200
8d7d7d0c-d15e,25708,27372249,11145184,25708,129376,40152,131831,1920170,11,4,26189,299,270,569,287
07df092e-5feb,2174,2951923,37282,2174,33240,128,65913,960070,2,1,35388,250,237,487,248
0d71a149-b1a7,243,1024764,305095,243,10008,112,65913,960071,2,1,0,223,212,435,216
c7f446c0-aece,43,30436,2900,43,296,128,65913,960070,2,1,2136,91,68,159,81
61b85ba7-b3a2,34305,769319572,18247760,34305,127097424,264952,98871,1440116,11,5,35106,337,338,675,337
ba9c0022-a696,7364,22793344,44157,7364,196008,104,65914,960077,4,2,1,295,280,575,291
1b749bc7-7b5d,45727,35553357,106435,45727,520544,1280,131826,1920139,5,1,129009,305,299,604,303
89de732e-cb83,6,12584,6013,6,0,0,65913,960069,2,1,6,41,2,43,13
0854f7ff-04a1,1,198114,198114,1,5728,5728,164790,2400235,17,5,77,166,194,360,176
d58fda04-7d51,1,20473,20473,1,152,152,98870,1440115,9,4,3,70,25,95,43
68863ab8-7b8a,1,2751,2751,1,304,304,65919,960107,8,3,27,4,69,73,29
d631f1bf-2c4e,26,18574,3033,26,1752,216,65916,960088,8,2,27,61,157,218,110
c7451974-fd15,2,8168,6767,2,176,152,131826,1920139,5,1,3,23,34,57,21
156ab65b-3720,4,20387,7206,4,464,208,65916,960096,6,2,1669,68,94,162,83
7c02f7f9-ff03,6,22822,10852,6,224,104,131829,1920161,7,3,6,76,50,126,63
f0131cf5-ad44,10,14473,3673,10,400,200,65913,960072,4,2,201,44,85,129,64
8dcd2b49-1ed1,2,19176,15075,2,152,128,131829,1920161,9,3,2,65,26,91,39
e55b505b-38b8,1,8477,8477,1,240,240,131837,1920194,18,6,2,24,55,79,33
e2829a80-4ff5,713,1481353,40125,713,7488,144,65914,960071,2,2,35224,236,203,439,221
25e89edf-122c,102,230540,19537,102,0,0,65913,960069,2,1,0,171,3,174,89
ff5a5e79-6a4d,100,228548,15553,100,3744,168,65916,960098,9,2,774,170,171,341,170
894f39a7-cc84,100,96459,13354,100,672,24,65913,960070,2,1,105,141,114,255,135
1f48b493-86d7,1973,1107940,15082,1973,7248,144,131826,1920140,5,2,4,225,201,426,213
